Title,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
"Château de la Cour d’Argent 2014, Bordeaux Supérieur","This family-owned Bordeaux winery knows that without good grapes, you don’t get good wine. That’s why they take great pains to make sure every vintage starts with perfectly ripe fruit, before harvesting begins. This is made mostly from Merlot, with a dash of Cabernet Franc and Cabernet Sauvignon, and aged in oak barrels for 14 months. Expect spicy, fruity aromas with hints of black pepper, blackberries and cinnamon. Try it now with grilled beef or cellar for another decade.",£13.99 per bottle,75CL,Merlot,"Cabernet Franc, Cabernet Sauvignon",Natural Cork,France,9.8,"Black Plum, Blackberry, Cedar, Earth",per bottle,Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied,2014,Bordeaux Supérieur
"Château Grand-Puy-Lacoste 2013, Pauillac","Château Grand-Puy-Lacoste is one of the oldest properties in the Médoc. But that doesn't mean they rest on their laurels. Winemaker Phillipe Gouze is constantly innovating through a combination of traditional and modern technology. This 2013 vintage is yet another of his successes. It's linear and well-balanced, with flavours of black fruit, creamy cassis and a touch of vanilla spice. Decant for an hour before serving at room temperature. Divine with stroganoff.",£59.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Natural Cork,France,10.1,"Spice, Blackcurrant, Savoury",per bottle,Red,ABV 13.50%,Bordeaux,Savoury & Full Bodied,2013,Pauillac
"Château Guiot 2019/20, Costières de Nîmes","Costières de Nîmes has more in common with the Rhône across the river than it does with the wines of Languedoc immediately neighbouring it. Château Guiot lies just outside the city of Nîmes, in the heart of this appellation. Deep purple hue, a beautifully scented nose with herby aromas, lashings of juicy forest fruits and spicy, rich berry flavours on the palate and a good, smooth finish. Equally good with anything from shepherd's pie, meatballs or moussaka style vegetarian dishes.",£9.99 per bottle,75CL,Grenache,Syrah,Screwcap,France,10.1,"Spice, Black Fruit, Dried Herbs",per bottle,Red,ABV 13.50%,Other France,Bold & Spicy,2020,Costières De Nîmes
"Château Montrose 'La Dame de Montrose', Saint-Estèphe","Château Montrose’s second wine is made with grapes from the same vineyard as its iconic Grand Vin. And it’s produced with the same rigorous standards. The historic estate first planted vines in 1815 in vineyards that stretch along the banks of the Gironde estuary. The river creates a unique microclimate ideal for producing high quality grapes, providing the perfect level of sun exposure and frost protection. Expect complex notes of ripe black fruit and toasty oak with silky tannins. Perfect for roast beef.",£54.99 per bottle,75CL,Merlot,"Cabernet Sauvignon, Petit Verdot",Natural Cork,France,10.1,"Black Cherry, Black Fruit, Black Plum, Red Fruit, Tobacco",per bottle,Red,ABV 13.50%,Bordeaux,Savoury & Full Bodied,2015,Saint-Estéphe
"Château Pesquié ‘Edition 1912m' 2021, Ventoux","Mont Ventoux is known as the Giant of Provence. It’s long been the toughest stretch of the Tour de France, but it’s also home to the coolest microclimate in the Southern Rhône. Lower temperatures here allow the grapes to ripen slowly and become much more aromatic – showing a more delicate side to the classic red Rhône blend. We picked up a small parcel of this last year and the reception was so good, we jumped at the chance to get another vintage. Expect notes of violet, red fruits, garrigue herbs and a kick of pepper. The silky texture and fine tannins will complement roast chicken and lentils perfectly.",£13.99 per bottle,75CL,Grenache,"Mourvèdre, Syrah",Natural Cork,France,10.9,"Black Cherry, Black Pepper, Earth, Spice, Strawberry",per bottle,Red,ABV 14.50%,Rhône,Bold & Spicy,2020,Ventoux
"Château Pichon Baron 'Les Griffons de Pichon Baron' 2015, Pauillac","Château Pichon Baron is a leading Pauillac producer with history dating back to 1694. This is the second wine of their iconic Left Bank estate. And it’s made to the same high standards as their top wines. The Cabernet Sauvignon grapes that dominate the blend primarily come from gravel soils near Gironde estuary. These soils produce some of the most expensive and renowned wines that have brought Bordeaux so much fame. Expect a full-bodied wine with flavours of blackcurrant, blueberries, liquorice and hints of cedar and tobacco. Enjoy it now with classic Pauillac lamb shoulder or cellar for up to 20 years.",£55.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Natural Cork,France,10.1,"Black Plum, Blackcurrant, Blueberry, Tobacco",per bottle,Red,ABV 13.50%,Bordeaux,Savoury & Full Bodied,2015,Pauillac
"Cloudy Bay Chardonnay 2020/21, Marlborough","Cloudy Bay are one of New Zealand’s most celebrated producers. They’ve been crafting world-class wines for almost 50 years – and while their famous Sauvignon often grabs the headlines, this elegant Chardonnay is deserving of equal attention. The grapes are handpicked from vineyards in Marlborough’s sun-soaked Wairau Valley and cooler Southern Valleys, bringing plenty of flavour and freshness to your glass. Add barrel fermentation and 11 months of ageing, and you’re in for a seriously lush, complex wine. Discover intense flavours of citrus, peach and apricot with savoury notes of toast and hay. Its rounded texture makes it incredibly food-friendly – enjoy yours with seafood, cheese, or any dish made with a creamy sauce.",£34.99 per bottle,75CL,Chardonnay,,Screwcap,New Zealand,10.1,"Vanilla, Green Apple, Lemon, Peach",per bottle,White,ABV 13.50%,Marlborough,Rich & Toasty,2021,
"Cloudy Bay Pinot Noir 2020/21, Marlborough","Cloudy Bay crafts some of New Zealand's finest wine. The cool-climate Marlborough is almost too generous to the demanding Pinot Noir grape. Here, the trailblazing winery has created this silk-smooth 92 Parker Point 2017 vintage that's loaded with raspberry, strawberry and cola. A deliciously sweet hint of spice lingers on the finish.",£39.99 per bottle,75CL,Pinot Noir,,Screwcap,New Zealand,10.5,"Sweet Spice, Black Cherry, Blackberry, Red Fruit",per bottle,Red,ABV 14.00%,Marlborough,Light & Elegant,2021,
"Cloudy Bay Te Koko 2019, Marlborough","An iconic wine from New Zealand's most iconic winery.  Atypical for Kiwi Sauvignon, the Te Koko is fermented using indigenous 'wild' yeasts, and subjected to batonnage as it ages in oak. Released as a three year old wine, this is unlike anything else from New Zealand! Lychees and almonds with classic gooseberry notes and a hint of wood smoke. A full bodied palate of citrus fruits with the richer flavours of caramel and nougat, leading to a crisp yet spicy finish. Able to age for up to five years, this wine an ideal partner to tuna, oysters and poached fish.",£59.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,10.5,"Pineapple, Almond, Charred Wood, Gooseberry, Lychee",per bottle,White,ABV 14.00%,Marlborough,Rich & Toasty,2019,
Collovray & Terrier 'Reserve' Saint Véran 2019/20,"Collovray & Terrier's Reserve is delicious proof that Saint Véran remains one of the best value communes in Burgundy. Ageing for 6 months on lees in both oak and steel tanks gives this golden Chardonnay a beautiful structure and richness. Expect notes of ripe citrus, white flowers and a delicate minerality. Serve with chicken terrine.",£21.99 per bottle,75CL,Chardonnay,,Natural Cork,France,10.1,"Peach, Apricot, Butter, Cream, Floral, Honey, Lemon",per bottle,White,ABV 13.50%,Burgundy,Ripe & Rounded,2020,Saint-Véran
Cune Barrel Fermented Rioja Blanco 2022,"Cune (or CVNE to some) are world-famous for their Rioja. But have you tried their whites before? This one is made from the Viura grape, which is known as Macabeo outside of Rioja. They aim to create a modern style of Rioja Blanco. And it’s fermented in 50% new American oak, which gives the wine a creamy texture and pronounced aromas of vanilla and brioche. It’s full and rounded with a balancing citrus acidity. Fantastic with roast pork.

In 2022, this wine won an IWC award for the 2020 vintage.",£12.99 per bottle,75CL,Viura,,Screwcap,Spain,9.8,"Banana, Lemon, Vanilla",per bottle,White,ABV 13.00%,Rioja And Navarra,Rich & Toasty,2022,Rioja
"Cuvée de Richard Blanc 2021/22, France","Cuvée de Richard Blanc is a Majestic standard. It’s fresh, easy-drinking – and, better still, it’s absolutely fantastic value for money. Our buyers are always on the lookout for the very best wines to give you great flavour and great value, so it says something that this wine has been in our range for over a decade. It’s hard to best for a crisp, light, dry white – the sort of easy-drinking table wine the French do better than anyone else. Green apple. Lime. Grapefruit. It’s got a really citrussy zing, and lovely, delicately floral, stone-fruit aromas. This is a real crowd-pleaser, so it’s a perfect party wine. But it’s also great with light salads – or just as a nice glassful on the sofa.",£7.99 per bottle,75CL,Colombard,,Screwcap,France,8.3,"Lemon, Grapefruit, Grass, Green Apple, Herbaceous",per bottle,White,ABV 11.00%,Other France,Crisp & Zesty,2022,Gascony
"Cuvée de Richard Rouge 2021/22, France","From the Languedoc region on France's Mediterranean coast, Cuvée de Richard Rouge offers remarkable value for money. A blend of Carignan and Grenache, it has smooth blackberry and plum notes and a rounded finish.",£8.99 per bottle,75CL,Grenache,Syrah,Screwcap,France,9.4,"Spice, Black Fruit, Dried Herbs",per bottle,Red,ABV 12.50%,Languedoc-Roussillon,Smooth & Mellow,2022,Pays D'Oc
Cuvée Sainte Geneviève Rouge VdF,"This wine is made from grapes sourced from a number of growers, and vinified at Caves de Landiras, a state-of-the-art winery at the heart of the winemaking scene for many small vaineyards in the south and southwest corners of France. Supple and inviting, this wine blends the soft and jammy raspberry fruit of ripe Grenache with the firming influences of Carignan's blackberry flavours and robust tannin. Light-to medium-bodied, this wine will partner with anything from cold cuts to flavoursome pasta dishes.",£7.99 per bottle,75CL,Grenache,Carignan,Screwcap,France,10.1,"Raspberry, Blackberry, Jammy",per bottle,Red,ABV 13.50%,Other France,Light & Elegant,NV,
CVNE 'Imperial' Rioja Reserva 2017/18,"CVNE is unquestionably one of Rioja's finest producers. And this is one of the very best Rioja Reservas around. Interestingly, it's named 'Imperial' as it was initially exported to the UK in imperial-sized pint measures. It's made from some of their very best grapes, which are picked by hand, and aged in both French and American oak to create a truly sensuous experience. Expect aromas of vanilla, mulberry and spice, flavours of stewed blackcurrants and a long finish. Decant it for at least an hour before enjoying its fine tannins with lamb.  

In 2022, this wine won an IWC award for the 2017 vintage.",£24.99 per bottle,75CL,Tempranillo,"Mazuelo, Graciano, Grenache",Natural Cork,Spain,10.5,"Vanilla, Black Fruit, Dried Herbs, Red Fruit",per bottle,Red,ABV 14.00%,Rioja And Navarra,Savoury & Full Bodied,2018,Rioja
"De Bortoli Botrytis Semillon 2019 Half Bottle, Riverina ","Inspired by the late Australian designer Florence Broadhurst, this is a limited release botrytis dessert wine from Semillon masters De Bortoli. Whilst made from the same grape as De Bortoli's iconic Noble One Semillon, one of the most awarded wines in history, this is a lighter, more refreshing style. Pair its citrus and spicy apricot notes and fresh acidity with fruit desserts.",£12.99 per bottle,37.5CL,Sémillon,,Screwcap,Australia,3.8,"Orange Marmalade, Citrus Fruit, Honey, Honeysuckle",per bottle,White,ABV 10.00%,New South Wales,,2019,Riverina
Definition Barossa Shiraz 2019/20,"The Definition range brings the world’s greatest wine styles to Majestic customers. Barossa is the heartland of Australian Shiraz. Here, it's unmistakably big, bold and full of black-fruit flavour. To capture this at its best, we went to a Barossa producer that's respected worldwide. They haven't disappointed. It’s deeply concentrated with rich notes of blackcurrant, ripe plum and pepper spice. Partner with a hearty steak, drizzled in black pepper sauce. 

In 2022, this wine won an IWC award for the 2019 vintage.",£13.99 per bottle,75CL,Shiraz,,Screwcap,Australia,10.5,"Black Pepper, Blackberry, Blackcurrant, Blueberry, Jammy, Spice",per bottle,Red,ABV 14.00%,South Australia,Bold & Spicy,2020,Barossa Valley
"Definition Mâcon-Villages 2021/22, Burgundy","The Definition range brings the world's greatest wine styles to Majestic customers, so it isn’t complete without white Burgundy. The Mâconnais is the region’s best-kept secret, and it’s yet to get the fanfare of the north, so continues to make fantastic Chardonnay at great value. Wines are typically made unoaked, and the warmer climate here means pure fruit flavours sing from your glass. And this exclusive bottling is a shining example. It’s fresh with flavours of citrus and stone fruits that will pair excellently with soft, creamy cheeses.

In 2022, this wine won an IWC award for the 2020 vintage.",£13.99 per bottle,75CL,Chardonnay,,Screwcap,France,9.8,"Peach, Apricot, Floral, Lemon",per bottle,White,ABV 13.00%,Burgundy,Ripe & Rounded,2022,Macon
Definition Margaux 2018/19,"The Definition range brings the world's greatest wine styles to Majestic customers. Margaux, on the Left Bank of Bordeaux, is where you'll find remarkably supple, perfumed and elegant claret. To capture the very best of the region, we went to a very prestigious producer. To get them on side, we had to promise to keep their name top secret. It was well worth the effort. It's wonderfully complex, with flavours of red berries, smoke and sweet spices. It's medium body pairs perfectly with chicken or turkey.",£27.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Natural Cork,France,10.9,"Cedar, Black Plum, Blackcurrant",per bottle,Red,ABV 14.50%,Bordeaux,Savoury & Full Bodied,2019,Margaux
Definition Valpolicella Ripasso Superiore DOC 2017/18,"The Definition range brings the world's greatest wine styles to Majestic customers. To capture the essential elements of Valpolicella Ripasso, we went to a family that's made wine in the region for 108 years. Rich and spicy, with notes of cherry, tobacco and black pepper. Serve with chargrilled steak.",£16.99 per bottle,75CL,Corvina,"Rondinella, Molinara",Natural Cork,Italy,9.8,"Vanilla, Raspberry, Red Cherry, Strawberry",per bottle,Red,ABV 13.00%,Veneto,Rich & Juicy,2018,Valpolicella
"DeMorgenzon ‘Reserve’ Chenin Blanc 2019/20, South Africa","Here’s a wine that celebrates the South African sunshine: DeMorgenzon means ‘the morning sun’ in Afrikaans. The name comes from the vineyard’s location. At a high altitude of 250-300 metres above sea level, it’s the first spot in the Stellenbosch Kloof Valley to catch the day's rays. This is made from 100% Chenin Blanc vines planted in the 1970s. It's wonderfully balanced with both freshness and complexity, thanks to barrel fermentation. It’s a lushly fragrant wine – think orange blossom, pear, caramel and spice. There’s plenty of mouth-watering acidity, too, which means it will cut through creamy sauces with aplomb. Try it with a carbonara.",£29.99 per bottle,75CL,Chenin Blanc,,Natural Cork,South Africa,10.5,"Lime, Quince, Tropical Fruit",per bottle,White,ABV 14.00%,Stellenbosch,Ripe & Rounded,2020,
"Devil's Creek Merlot 2020, Hawke's Bay","Hawke's Bay is still something of a Kiwi secret. It’s Bordeaux as Bordeaux used to be – cool and coastal. That’s why Bordeaux varieties like Merlot do so well here. The relative coolness lets the grapes ripen slowly – it concentrates all the flavours so this is even plusher and juicier than your standard Merlot. We just knew we had to have a wine from such a stellar region on our books, but try as we might we couldn’t find quite the right Hawke's Bay Merlot. So, we commissioned it. That means this great value red is exclusive to us. Plummy. Red-fruity. Smooth. As delicious as it is great value. We guarantee there’s nothing nicer with Chinese-style crispy duck pancakes.",£9.99 per bottle,75CL,Merlot,,Screwcap,New Zealand,10.1,"Red Plum, Black Cherry, Black Plum, Raspberry",per bottle,Red,ABV 13.50%,Hawkes Bay,Smooth & Mellow,2020,
"Dog Point Chardonnay 2018/19, Marlborough","18 months in mainly old French oak barrels has formed this top quality Marlborough Chardonnay into a genuine rival to premier cru Burgundy. Straw coloured, with aromas of flint, grapefruit peel and ripe citrus fruits are framed by nutty mineral nuances in this wine. Seamlessly integrated oak leads into a wonderfully balanced Chardonnay with a concentrated and lively finish. Will reward careful cellaring of 3-5 years.",£31.99 per bottle,75CL,Chardonnay,,Screwcap,New Zealand,10.5,"Vanilla, Citrus Fruit, Grapefruit, Lime, Ripe Fruit",per bottle,White,ABV 14.00%,Marlborough,Ripe & Rounded,2020,
Dom Ruinart 2009/10 Champagne,"This great vintage boasts a unique complexity, an aromatic freshness, an elegant effervescence and a fine balance between strength and smoothness. Dom Ruinart has an elegant nose of white flowers and citrus notes developing into brioche and toast.

Please note that either one or both of the two vintages may be sent.",£280.00 per bottle,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,France,9.4,"Green Apple, Almond, Apricot, Biscuit, Bread, Citrus Fruit",per bottle,White,ABV 12.50%,,Rich & Toasty,2010,
Domaine Cauvard Chorey-lès-Beaune 2020/21,"Three-generations of wine-growing experience is behind this wine. Domaine Cauvard, a family business, has 17 hectares of vines spread across the heart of the celebrated Côte de Beaune, which is to many the home of the world's finest Pinot Noir. You can taste their expertise in this light, elegant red Burgundy. Expect enticing aromas of raspberry, cherry and liquorice, with elegant tannins that will make it equally enjoyable to drink on its own or with food. The perfect match? Charcuterie and cheese boards.",£25.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,9.8,"Earth, Red Fruit, Strawberry",per bottle,Red,ABV 13.00%,Burgundy,Light & Elegant,2021,
"Domaine de la Métairie d’Alon Organic Pinot Noir 2019, Languedoc","Laurent Delaunay is the fifth generation of a family with a rich winemaking history. In an innovative step, he acquired Domaine de la La Métairie d'Alon in 2015 – a high-altitude vineyard, just a stone’s throw from Limoux. He farms organically, and with vast experience of crafting fine Burgundy wines, brings the same standards of winemaking to new territory. The handpicked grapes for Le Village are gently pressed, with just under half the wine spending 6 months in oak barrels to add complexity. Just like a classic Burgundy, the resulting wine is elegant, juicy and fresh. Discover floral and red-berry notes with a touch of ginger. Flavours of cherry and hints of liquorice and white pepper will complement grilled red meats.",£19.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,10.1,"Floral, Liquorice, Red Cherry, Spice",per bottle,Red,ABV 13.50%,Languedoc-Roussillon,Light & Elegant,2019,Limoux
"Domaine de Ladoucette 'Comte Lafond' Sancerre 2020/21, Loire Valley","Domaines de Ladoucette are known for producing some of the world's finest Sauvignon Blanc. They made their name by creating Pouilly-Fumé but also make smaller amounts of exceptional Sancerre. This is an intense, mineral wine, with notes of grapefruit, pear, peach and gunflint. Serve it at 6-10 degrees with grilled fish.",£36.99 per bottle,75CL,Sauvignon Blanc,,Natural Cork,France,9.4,"Honey, Citrus Fruit, Grass, Green Apple",per bottle,White,ABV 12.50%,Loire,Fresh & Elegant ,2021,Sancerre
Domaine des Aubuisières ‘Cuvée de Perruches’ Vouvray 2021/22,"Bernard Fouquet has around 30ha of Chenin vines, planted across a range of soils, from limestone to flint. Each parcel is hand-picked and vinified separately, with fermentation taking place partly in oak barrels and partly in old glass-lined vats cut into the rock. A pure, well developed nose of fresh quince and pear. The palate is a swathe of ripe apple fruit, with a honeyed sweetness, balanced by Chenin's characteristic blade-like acidity and mineral grip. A superb aperitif wine which will also partner the delicate flavours of salmon en croute or cold cured meats.",£13.99 per bottle,75CL,Chenin Blanc,,Screwcap,France,10.1,"Quince, Green Apple, Honey, Lemon, Pear",per bottle,White,ABV 13.50%,Loire,Light & Elegant,2022,Vouvray
Domaine des Deux Vallées 'Clos de la Casse' Anjou Blanc 2022,"Philippe Socheleau and his father sold their apple orchards in 2001 and took a leap of faith. They bought 36 hectares of Anjou vineyards, in the Loire Valley, ripped out the Sauvignon Blanc and Chardonnay vines and planted Chenin Blanc. Philippe's now a specialist in the grape. And it really shows in this dense, full-bodied wine. Expect flavours of green apple, quince, pear and lemon peel. Try it with scallops with a dash of crème fraîche.",£14.99 per bottle,75CL,Chenin Blanc,,Natural Cork,France,10.9,"Green Apple, Lemon, Pear, Quince",per bottle,White,ABV 14.50%,Loire,Fresh & Elegant ,2022,Anjou
"Domaine des Tourelles 'Grand Cuvée Pierre Brun' 2015/17, Lebanon","Faouzi E Issa has a knack for making fantastic wine in challenging circumstances. After earning his stripes at Château Margaux and with René Rostaing, he's one of the world's few Lebanese winemakers. And he's guaranteed to go down as one of the country's greats. This is made from small parcels of old-vine Syrah and Cabernet Sauvignon grapes. Each is picked by hand from high altitudes in the Bekaa Valley. It's savoury and full-bodied, with notes of black cherry, plum, blackcurrant, cedar and chocolate. Great with a lentil stew.",£23.99 per bottle,75CL,Cabernet Sauvignon,Syrah,Natural Cork,Lebanon,10.9,"Black Cherry, Black Fruit, Black Plum, Blackcurrant, Cedar, Chocolate, Game, Red Fruit, Spice, Tobacco",per bottle,Red,ABV 14.50%,Lebanon,Savoury & Full Bodied,2017,Beeka Valley
Domaine Faiveley  Nuits Saint Georges Premier Cru 2013/14,"Domaine Faiveley was founded in 1825 and has been passed from one generation of the family to the next since. This is made in the Les Porêts Saint-Georges climat, which was recognised as one of the very best spots in the Côte de Nuits by a renowned expert, Dr Lavalle, in 1855. The Faiveley family is particularly attached to these vines, as they were some of the first purchased by the domaine in the 1830s. Most importantly, the red Burgundy they make on this Premier Cru is exceptional. It has aromas of strawberry, raspberry, toast and oak and rich, smooth tannins. Try it with duck breast now or cellar for up to 12 years.",£89.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,10.1,"Dried Herbs, Raspberry, Savoury, Strawberry",per bottle,Red,ABV 13.50%,Burgundy,Light & Elegant,2014,Nuits-Saint-Georges
Domaine Gérard Thomas Saint-Aubin Blanc 1er Cru 2020/21,"Bordering the acclaimed vineyards of Puligny-Montrachet, Gérard Thomas produces a St Aubin premier cru that challenges its pricier neighbour. He barrel ferments this wine to give it a softer and smoother complexity. With a nose of ripe citrus, fresh peach, subtle sweet spice and hints of minerals, this is followed by gentle hazelnut aromas, lemons and limes, hints of vanilla and butter on the palate. This fantastically well balanced and complex wine would be a great accompaniment  to pan fried scallops, fresh crab or lobster dishes.",£39.99 per bottle,75CL,Chardonnay,,Natural Cork,France,10.1,"Vanilla, Apricot, Butter, Lemon, Pastry, Peach, Sweet Spice",per bottle,White,ABV 13.50%,Burgundy,Rich & Toasty,2021,Saint-Aubin
Domaine Jean Chauvenet Nuits-Saint-Georges 2020/21,"The Chauvenet family have been making wine in Burgundy since 1680. For their outstanding Pinot Noir, they balance their heritage with constant innovation. Expect complex notes of red berries. Pair with rich tomato pasta.",£42.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,10.1,"Strawberry, Dried Herbs, Raspberry, Savoury",per bottle,Red,ABV 13.50%,Burgundy,Light & Elegant,2020/21,Nuits-Saint-Georges
"Domaine Jean Perrier & Fils 'Altus' 2020/21, Savoie","This is our first foray into the Alpine region of Savoie, which is famed for its fresh, thirst-quenching wines that are the hit of the region's many ski resorts. It's made by the Perrier family, who have worked here since 1853, from the Jacquère grape in one of the area's finest spots. Expect a light and refreshing white with notes of lemon and hawthorn and a flinty minerality. Try this with cheese fondue.",£14.99 per bottle,75CL,Jacquere,,Natural Cork,France,8.6,"Wet Stones, Almond, Lemon, Lime",per bottle,White,ABV 11.50%,Jura & Savoie,Smooth & Light,2021,
Domaine L. Chatelain Chablis 2021/22,"Domaine L. Chatelain have been family-run for generations. Based in the village of Fontenay, just north of the town of Chablis, their vines grow on the region’s famous Kimméridgien soils – a mixture of chalky limestone and clay that dates back to the Jurassic period. It’s these soils that give Chablis its signature flinty character, which certainly shines through in this elegant bottling. Crisp, aromatic and seriously refreshing, it’s full of zingy citrus and green apple flavours. Its distinctive minerality makes it the perfect accompaniment to shellfish – especially oysters.",£21.99 per bottle,75CL,Chardonnay,,Natural Cork,France,9.8,"Wet Stones, Cream, Green Apple, Lemon",per bottle,White,ABV 13.00%,Burgundy,Fresh & Elegant ,2021,Chablis
Domaine Passy ‘Le Clou’ Petit Chablis 2021/22,"This winery was founded in the 1950s and sold wine in bulk to local wine merchants. When the Descombes took over, in 2017, everything changed. They switched its sights to quality, not quantity – focusing on the environmental conservation of their coveted Burgundy plots. They've even gone as far to plant hedges and trees and use natural fertilisers in the vineyards. This is their Petit Chablis, and it has all the classic flavours you'd expect: lemon and grapefruit, and a textbook lick of minerality. Enjoy it with salmon tartare.",£16.99 per bottle,75CL,Chardonnay,,Natural Cork,France,9.4,"Citrus Fruit, Green Fruit, Wet Stones",per bottle,White,ABV 12.50%,Burgundy,Fresh & Elegant ,2022,Chablis
"Domaine Robert Sirugue 'Les Trois Terroirs' 2019/20, Vosne-Romanée",Vosne-Romanée is a region internationally renowned for its smooth and silky red Burgundy. This is made on three areas of the region specifically selected for their characteristic structure and elegance. Ripe red fruit and spices are the main notes in this excellent Pinot Noir. It will develop aromas of forest floor and leather as it ages over ten years. Divine at 14-16 degrees with roasted lamb.,£84.99 per bottle,75CL,Pinot Noir,,Natural Cork,France,10.5,"Strawberry, Dried Herbs, Raspberry, Savoury",per bottle,Red,ABV 14.00%,,Light & Elegant,2020,Vosne-Romaneé
"Domaines Schlumberger ‘Spiegel’ Pinot Gris Grand Cru 2020/21, Alsace","Domaines Schlumberger sets the standard for quality in Alsace. Now in its seventh generation of family ownership, the estate lies on a steep, picturesque hillside where the vineyards reach altitudes of almost 400 metres. Spiegel is one of four Grand Cru spots in this part of Alsace, and it’s one of the best Pinot Gris sites in the region. Here, the grapes ripen perfectly under the sun while retaining a balancing freshness and acidity – making for an opulent, complex and elegant wine. Discover rich notes of ripe yellow plum, apricot, quince, orange blossom and honey, with a silky, full-bodied texture courtesy of eight months’ careful lees ageing. It has a luxurious touch of sweetness, so try it with soft, creamy cheeses or something a little exotic like apricot-stuffed pork.",£18.99 per bottle,75CL,Pinot Gris,,Natural Cork,France,10.5,"Quince, Citrus Fruit, Herbaceous",per bottle,White,ABV 14.00%,Alsace,Aromatic & Floral,2021,
"Dr Loosen Slate Hill Riesling 2021/22, Mosel","Ernst Loosen is a superstar of German winemaking. He took over his family winery in 1988 and immediately set out to gain international recognition for his wines, the Mosel region, and Riesling in general. He’s more than succeeded – today, Dr Loosen is one of Germany’s most highly regarded estates, and both Ernst and his wines have won numerous prestigious awards. This aromatic, medium-dry Riesling is an excellent demonstration of his skill. Discover flavours of lime, peach and apricot, plus a touch of sweetness balanced perfectly by a crisp acidity. Enjoy it with lightly spiced Asian-style dishes.",£11.99 per bottle,75CL,Riesling,,Screwcap,Germany,6.4,"Pear, Floral, Green Apple, Honey, Lime, Peach",per bottle,White,ABV 8.50%,Germany,Fresh & Elegant ,2022,Mosel
"Duckhorn Cabernet Sauvignon 2018/19, California","Duckhorn is a Napa Valley icon. Its winemaking team are taking on a new terrain in Sonoma. The best part? The delicious wine made there is a fraction of the usual asking price. It's a rich, ripe Cabernet Sauvignon, with flavours of black fruits, plum, cedar and spice. Decant for an hour and serve at room temperature with a rack of ribs.",£64.99 per bottle,75CL,Cabernet Sauvignon,"Merlot, Cabernet Franc",Natural Cork,USA,10.9,"Tobacco, Black Cherry, Black Fruit, Black Plum, Blackcurrant, Cedar, Chocolate",per bottle,Red,ABV 14.50%,California,Savoury & Full Bodied,2019,Napa Valley
E. Guigal Châteauneuf-du-Pape 2017/18,"The Guigal family may have made their name with iconic Côte-Rôtie. But they also produce fantastic Châteauneuf-du-Pape from 45-year-old vines. And the critics can't get enough of it. This is a full-bodied, velvety and powerful wine, with notes of red fruits, plum, hazelnut and spice. Decant for an hour before serving at 16-18 degrees with cheese or cellar for up to 15 years.",£42.99 per bottle,75CL,Grenache,Syrah,Natural Cork,France,11.3,"Spice, Black Plum, Blackberry, Earth, Raspberry",per bottle,Red,ABV 15.00%,Rhône,Bold & Spicy,2018,Châteauneuf-Du-Pape
E. Guigal Condrieu 2020/21,"Guigal played a large part in the resurgence of Condrieu, the enclave famous for rich, exotic and perfumed Viognier with worldwide acclaim. They pay the same attention to detail today. And it really shows in this full-bodied wine. It has intense notes of apricot, peach and citrus and is excellent with fish. Serve at 12-13 degrees or age for five years.",£49.99 per bottle,75CL,Viognier,,Natural Cork,France,11.3,"Vanilla, Apricot, Butter, Cream, Grapefruit, Honey, Honeysuckle, Lemon, Peach, Pear",per bottle,White,ABV 15.00%,Rhône,Ripe & Rounded,2021,Condrieu
"E. Guigal Gigondas 2019/20, Rhône Valley","Gigondas is where you'll fine Châteauneuf-du-Pape-esque reds at great value, and E. Guigal is one of the finest producers in the Rhône Valley. Here, it presses Grenache, Syrah and Mourvèdre grapes and ages the wine for two years in oak. The result is full-bodied and intense, with powerful hints of red fruit, liquorice and oak and supple tannins. Jeb Dunnuck gave the 2016 vintage 93-95 points.",£23.99 per bottle,75CL,Grenache,Syrah,Natural Cork,France,11.3,"White Pepper, Black Plum, Blackberry, Earth, Raspberry, Spice",per bottle,Red,ABV 15.00%,Rhône,Bold & Spicy,2020,Gigondas
"Eccelsa Vermentino 2021/22, Sardinia","Vermentino is the gem of the island of Sardinia. Because it's still relatively unknown, you can find great value with the grape. Like this expression from Eccelsa. It's made by a family whose wines top tables in the best Italian restaurants. It's intense and aromatic, with notes of summer fruits. Excellent with seafood.",£11.99 per bottle,75CL,Vermentino,,Natural Cork,Italy,10.1,"Stone Fruit, Citrus Fruit, Floral",per bottle,White,ABV 13.50%,Sardinia,Crisp & Zesty,2022,Vermentino Di Sardegna
